Sector,IndustryGroup,Code,Company
Energy,Energy,2030,SARCO
Energy,Energy,2222,SAUDI ARAMCO
Energy,Energy,2380,PETRO RABIGH
Energy,Energy,4030,BAHRI
Energy,Energy,4200,ALDREES
Materials,Materials,1201,TAKWEEN
Materials,Materials,1202,MEPCO
Materials,Materials,1210,BCI
Materials,Materials,1211,MAADEN
Materials,Materials,1301,ASLAK
Materials,Materials,1304,ALYAMAMAH STEEL
Materials,Materials,1320,SSP
Materials,Materials,2001,CHEMANOL
Materials,Materials,2002,PETROCHEM
Materials,Materials,2010,SABIC
Materials,Materials,2020,SAFCO
Materials,Materials,2060,TASNEE
Materials,Materials,2090,NGC
Materials,Materials,2150,ZOUJAJ
Materials,Materials,2170,ALUJAIN
Materials,Materials,2180,FIPCO
Materials,Materials,2200,APC
Materials,Materials,2210,NAMA CHEMICALS
Materials,Materials,2220,MAADANIYAH
Materials,Materials,2240,ZAMIL INDUST
Materials,Materials,2250,SIIG
Materials,Materials,2290,YANSAB
Materials,Materials,2300,SPM
Materials,Materials,2310,SIPCHEM
Materials,Materials,2330,ADVANCED
Materials,Materials,2350,SAUDI KAYAN
Materials,Materials,3001,HCC
Materials,Materials,3002,NAJRAN CEMENT
Materials,Materials,3003,CITY CEMENT
Materials,Materials,3004,NORTHERN CEMENT
Materials,Materials,3005,UACC
Materials,Materials,3007,OASIS
Materials,Materials,3008,ALKATHIRI
Materials,Materials,3010,ACC
Materials,Materials,3020,YSCC
Materials,Materials,3030,SAUDI CEMENT
Materials,Materials,3040,QACCO
Materials,Materials,3050,SPCC
Materials,Materials,3060,YCC
Materials,Materials,3080,EPCCO
Materials,Materials,3090,TCC
Materials,Materials,3091,JOUF CEMENT
Industrials,Capital Goods,1212,ASTRA INDUSTRIAL
Industrials,Capital Goods,1302,BAWAN
Industrials,Capital Goods,1303,EIC
Industrials,Capital Goods,2040,SAUDI CERAMICS
Industrials,Capital Goods,2110,SAUDI CABLE
Industrials,Capital Goods,2140,AYYAN
Industrials,Capital Goods,2160,AMIANTIT
Industrials,Capital Goods,2320,ALBABTAIN
Industrials,Capital Goods,2360,SVCP
Industrials,Capital Goods,2370,MESC
Industrials,Capital Goods,4140,SIECO
Industrials,Capital Goods,4141,ALOMRAN
Industrials,Capital Goods,1330,ALKHODARI
Industrials,Commercial & Professional Svc,1831,MAHARAH
Industrials,Commercial & Professional Svc,4270,SPPC
Industrials,Commercial & Professional Svc,6004,CATERING
Industrials,Transportation,2190,SISCO
Industrials,Transportation,4031,SGS
Industrials,Transportation,4040,SAPTCO
Industrials,Transportation,4110,BATIC
